,status_id,text,created_at,favorite_count,retweet_count,location,followers_count,friends_count,statuses_count
0,1236050000000000000.00,"wash yo hands
stay updated
wash em again
eat healthy",2020-03-06T21:59:55Z,0,0,God's love,493,225,12262
1,1236050000000000000.00,The President inside the  with its  leadership as we learn more about  and testing for it.  at 4p,2020-03-06T21:59:55Z,0,0,"Atlanta, GA",10450,3722,15102
2,1236050000000000000.00,It’s hard to focus on anything else with the -19  updates but today is  for  month.  Remember a  can save a life!        ,2020-03-06T21:59:57Z,0,0,"Nashville, TN",6113,679,3932
3,1236050000000000000.00,"I mean, seriously. The Acting Deputy Secretary of Homeland Security basically said they'd rather risk cruise ship passengers get infected than try to figure out quarantine on land–or discuss if quarantine is even necessary. Shameful. ",2020-03-06T22:02:28Z,0,0,"Merrimack Valley, Massachusetts, USA https://ko-fi.com/khills",6384,1593,189120
4,1236050000000000000.00,"""""Cuccinelli defended the decision, saying there is not enough capacity on land to quarantine large numbers of passengers.""""

Yo, Cooch. We don't have enough hospital beds on land if you infect everyone on the  by keeping them there. 

",2020-03-06T21:59:57Z,0,0,"Merrimack Valley, Massachusetts, USA https://ko-fi.com/khills",6384,1593,189120
5,1236050000000000000.00,"UPDATE: All the three  suspected cases; travellers from France, England and  China whose samples were collected yesterday for analysis have tested negative and they have been dischsrged.
via 

",2020-03-06T21:59:59Z,0,0,worldwide,311,132,9939
6,1236050000000000000.00,(1) here is what concerns us....we have been told increasingly that those with compromised systems/lungs are at most risk.....,2020-03-06T22:02:21Z,0,0,,0,0,5
7,1236050000000000000.00,rampant reports of Asian Americans being assaulted based on their heritage....disgusting.  we can't have social breakdowns like this....,2020-03-06T22:00:55Z,0,0,,0,0,5
8,1236050000000000000.00,"33 cases now in N.Y., with most connected to Westchester attorney. many more to come. ",2020-03-06T21:59:57Z,0,0,,0,0,5
9,1236050000000000000.00,no way in hell would a trip on a cruise be something to trust given what we have seen. masses outbreaks on board and reports bathrooms are a sort of Petri dish for those on board  ,2020-03-06T22:04:43Z,0,0,,0,0,5
10,1236050000000000000.00,"(2). Well if someone younger and fit gets the virus and develops pneumonia, their lungs at least in the short term will be compromised.  With it being unknown if natural immunity comes after first exposure, they could then be susceptible to second positive",2020-03-06T22:03:18Z,0,0,,0,0,5
11,1236050000000000000.00,Hoarding water/masks etc. is a self-fulfilling prophecy....fear of a shortage will create a shortage....,2020-03-06T22:01:32Z,0,0,,0,0,5
12,1236050000000000000.00,are you stocking up on goods due to the  ,2020-03-06T22:03:51Z,0,0,,0,0,5
13,1236050000000000000.00,"Husband locks wife in bathroom over coronavirus fears, police intervenes.... ||          19 ",2020-03-06T22:07:00Z,0,0,online,647,111,39478
14,1236050000000000000.00,Trending: Coronavirus patient watching sunset with doctor outside Wuhan hospital.....              19,2020-03-06T22:00:00Z,0,0,online,647,111,39478
15,1236050000000000000.00,'It's fake!': Wuhan citizens voice discontent on Chinese gov't response to ,2020-03-06T22:00:00Z,0,0,"Manila, Philippines",6677589,1073,756438
16,1236050000000000000.00,There are many things New Yorkers can do every day to help stop the spread of  in NYC. Follow these tips from  and visit,2020-03-06T22:00:00Z,0,0,"New York, NY",23329,2506,22272
17,1236050000000000000.00,An administrator at St. Raphael Academy in Rhode Island contracted  after a class trip to Italy.,2020-03-06T22:00:00Z,0,0,"Chicago, IL",9515,1519,17698
18,1236050000000000000.00,"Japanese director's short film on Nanjing's  battle makes a splash in Japan and China

more:",2020-03-06T22:00:00Z,0,0,"Beijing, China",14051913,55,113217
19,1236050000000000000.00,"Coronavirus infiltrating military ranks: Qatar cancels major defence conference
    19   

",2020-03-06T22:00:00Z,0,0,,16840,376,28266
20,1236050000000000000.00,"A total of 14 testing products for the novel  disease () have gained approval for clinical use in China, an official said Friday.",2020-03-06T22:00:00Z,0,0,"Beijing, China",385185,10,784
21,1236050000000000000.00,Petition: Close Schools/Colleges down for an appropriate amount of time amidst COVID19.,2020-03-06T22:00:00Z,0,0,,0,3,7
22,1236050000000000000.00,"Since early February, Wuhan has been transforming large, unoccupied spaces — from sports arenas to exhibition centers — into “fangcang,” or temporary shelter hospitals, to treat  patients with mild or moderate symptoms.

Learn more:",2020-03-06T22:00:00Z,0,0,Shanghai,74660,1985,15558
23,1236050000000000000.00,"The : South Africa, you don’t need a mask. Via . ",2020-03-06T22:00:00Z,0,0,Johannesburg,10772,790,66858
24,1236050000000000000.00,"Concentrated Clorox HE Regular Bleach, 121 Oz.",2020-03-06T22:00:01Z,0,0,United States,5796,6238,11178
25,1236050000000000000.00,"10 Pcs Disposable Activated Carbon Filter for N95 Face Mask, 3 Layers Breathable Protective Filter for PM2.5",2020-03-06T22:12:15Z,0,0,United States,5796,6238,11178
26,1236050000000000000.00,"‘Can everyone mute?’ Coronavirus means we must telecommute. We’re not ready 

",2020-03-06T22:00:01Z,0,0,"Costa Mesa, CA",181,212,645
27,1236050000000000000.00,"4 days! 12 hours online during (now canceled😢) !! Calling all attendees, non-attendees &amp; exhibitors! Join us in social virtual reality! NOOBYs welcome!",2020-03-06T22:00:01Z,0,0,"Columbus, OH",15740,9070,143717
28,1236050000000000000.00,I needed this! I have been working on the covid19 project non stop for weeks! Poor little flying squeaks have taken a bad rap! You go little sky hamsters! Show em' how it's done!,2020-03-06T22:00:02Z,0,0,"Vermont, USA",1036,85,4082
29,1236050000000000000.00,"Okay, time to switch off the outrage and shock and get to work! We need everyone using infection prevention and preparing for an emergency situation!   is here and we need to deal with it! The site linked in my bio has ways you can help! Let's get to work!",2020-03-06T22:06:43Z,0,0,"Vermont, USA",1036,85,4082
30,1236050000000000000.00,"Healthcare should be free for all in BC, and across Canada, not just for some.  ",2020-03-06T22:00:02Z,0,0,"S,DÁYES. Unceded Tsawout, Tsawwassen, Stz'uminus, Penelakut Lands (BC, Canada) | Cayuse, Umatilla, Walla Walla, Nimíipuu Lands (Oregon)",26926,275,1725
